Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg T_out_MAPE,Std T_out_MAPE,Avg T_out_MAE,Std T_out_MAE,Avg T_out_MSE,Std T_out_MSE,Avg Press_mm_hg_MAPE,Std Press_mm_hg_MAPE,Avg Press_mm_hg_MAE,Std Press_mm_hg_MAE,Avg Press_mm_hg_MSE,Std Press_mm_hg_MSE,Avg RH_out_MAPE,Std RH_out_MAPE,Avg RH_out_MAE,Std RH_out_MAE,Avg RH_out_MSE,Std RH_out_MSE,Avg Windspeed_MAPE,Std Windspeed_MAPE,Avg Windspeed_MAE,Std Windspeed_MAE,Avg Windspeed_MSE,Std Windspeed_MSE,Avg Visibility_MAPE,Std Visibility_MAPE,Avg Visibility_MAE,Std Visibility_MAE,Avg Visibility_MSE,Std Visibility_MSE,Avg Tdewpoint_MAPE,Std Tdewpoint_MAPE,Avg Tdewpoint_MAE,Std Tdewpoint_MAE,Avg Tdewpoint_MSE,Std Tdewpoint_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,15788,3947,N/A,N/A,N/A,N/A,83.94137115478516,25.00366644606694,83.94137115478516,25.00366644606694,0.4119789912215721,0.010072808498238318,0.3016237318678971,0.008237932209596403,0.12262524400185638,0.005288957689357009,0.0070447282029250016,0.0007453518807902507,0.006877274768994975,0.0007311989595554874,7.647571588522256e-05,1.150159900052244e-05,0.24357468479797037,0.012979182275194128,0.1296272863317177,0.005863350398461796,0.02582907353944002,0.0028623884114301135,296549514377.14655,7947658571.347308,0.11169246882137543,0.006122712165323911,0.016554536369903214,0.0016130470273640462,0.2106800052125593,0.0038029094348811586,0.07475125973761831,0.002315132542098622,0.011626013825815762,0.0005146689270939845,1201094247117.4485,85511400772.58812,0.3667994913228739,0.017068636151101102,0.1896860136026176,0.017852138027269867,249607293582.58237,14616571284.163548,0.16522858547507954,0.0032507055695965947,0.06106622617591969,0.0030746440881720305
Fixed Cut 5.0%,14999,3947,789,4.997466430200152,N/A,N/A,71.68292465209962,30.995705688907474,71.68292465209962,30.995705688907474,0.4304245446411136,0.016025597058910775,0.31664578441441293,0.012314781731057522,0.13368355605511242,0.00759115073051546,0.008255105555317561,0.0019737396615286977,0.008071485820319652,0.0019173245708602842,0.0001183551545248759,6.634240410027888e-05,0.2546716945160262,0.01231991236489969,0.13368152494248162,0.0047609409374437875,0.028424093709587043,0.002799710505109251,273222303009.98788,23231440661.756084,0.09887100007167687,0.01135669946455565,0.01335995705159234,0.0027758664645199565,0.21257683861017818,0.011329599213976527,0.07919146517619137,0.00946665276218207,0.01235401787512123,0.001075923774350073,1139045578727.7302,108173589582.75508,0.36395545377086674,0.006946972973384992,0.18653825761756965,0.007131205012747935,235377980289.77383,19728045398.525307,0.16673611903265811,0.0025858008757243148,0.06241303957725125,0.0008588912653862816
Fixed Cut 10.0%,14210,3947,1578,9.994932860400304,N/A,N/A,49.53440022468567,13.858679191800556,49.53440022468567,13.858679191800556,0.4004653824087196,0.012527949870157063,0.292426014680764,0.009943536905929298,0.11796366038297701,0.004877629053975518,0.007109731406157621,0.001972068162195347,0.006948577483556356,0.0019205667412393636,8.31371926124557e-05,4.371227453897901e-05,0.2547902094340012,0.012921733393819529,0.13408713585673582,0.005994400643655336,0.028287077621582113,0.0030030563353013536,285991294849.4514,18807134699.308704,0.10179068008247537,0.007588553661228608,0.01417006749423134,0.0020114121412995196,0.21282209044512002,0.0030940932952750154,0.07513229210604938,0.003934278743109461,0.011961132503529226,0.00047147017818205796,1371930211060.9927,145388504495.11417,0.3462757400050415,0.01309106326516875,0.1681388079653519,0.013398193350376723,276320250985.217,26329008503.921375,0.159443406702437,0.004218535842947637,0.05676731386004734,0.0029941036572374916
Fixed Cut 15.0%,13420,3947,2368,14.998733215100076,N/A,N/A,70.39529404640197,16.245357550387645,70.39529404640197,16.245357550387645,0.3889787350318074,0.012996706569816373,0.2833578193006146,0.00950230182629369,0.1104806107518722,0.0069262401919505685,0.00847020151090274,0.0018736820582799243,0.008299617721642864,0.0018471013932020045,0.00010061121401561217,3.9008921442947277e-05,0.23873875077076046,0.013682585468143034,0.12682614927802882,0.005706890582273957,0.02481054731237449,0.002983525938037113,282546863457.17487,7996236224.061666,0.09979930707522693,0.005165334948480843,0.013656657926858223,0.0012426978728585548,0.22026159730951678,0.016388156432056978,0.07649814598678244,0.005808881190377453,0.012447747811608187,0.0012128609635148665,1270034873266.6794,70551884336.16725,0.3449464684197779,0.01108403995196441,0.16690679226944766,0.01151957402277249,258763622787.44913,12097633704.324583,0.1566212512970123,0.0034697266991501278,0.0547338278810294,0.0022781604012995873
Fixed Cut 20.0%,12631,3947,3157,19.996199645300226,N/A,N/A,55.83525195121765,15.621555357092694,55.83525195121765,15.621555357092694,0.4046324001339121,0.015585067447288645,0.29616473663263626,0.012634174361936135,0.1194352021631227,0.008393370694009345,0.008437525367329963,0.0019323367391030353,0.008260730525926156,0.0018737463445086247,0.00010732842593315928,5.2988494761698904e-05,0.246954714445965,0.009282703438866998,0.13051550502419984,0.003492000147944932,0.026533082266680864,0.0020184796799433222,272417820606.71707,7865125209.258672,0.09728101817505429,0.004883030188908122,0.012922507159571935,0.0011129712724191802,0.21105658649366826,0.006887507844957701,0.0733425321060088,0.0020774201578435433,0.011844981108693812,0.0008360331787425864,1205453694761.8098,52120707944.254845,0.3539010084320161,0.004772425225103949,0.17611288857250845,0.004498678338645993,246311919228.23386,9773098751.500505,0.15991092181597347,0.0020325985112100257,0.05782599828275181,0.0011015267510918535
Fixed Cut 25.0%,11841,3947,3947,25.0,N/A,N/A,73.07490978240966,25.29909546273961,73.07490978240966,25.29909546273961,0.40228432496256106,0.022496297267746455,0.2942319027101968,0.016890349923298048,0.11680191612609445,0.011559079593778967,0.010091515623414829,0.0036682634339732442,0.009887547195252956,0.003569215563290672,0.0001577117448610809,0.00012104308610454632,0.2349640709289221,0.010578915862728492,0.12549175593712406,0.003771763191122983,0.024012943714259383,0.0021614291144644625,260513664885.52542,12058849186.897545,0.09305865562772488,0.007427624370887849,0.012003963744731418,0.001658401620064344,0.20817978686246255,0.0026925616865279512,0.07316481331760405,0.001399088962107641,0.01151466422116209,0.00039419060267146714,1070247324833.5867,61006712461.50414,0.3619901199320357,0.01152599365919642,0.18487239859618226,0.012211168654011633,221793498286.65866,11906605413.025902,0.1596374657866564,0.0030000478025941227,0.058227266357881814,0.003112409745261093
Fixed Cut 30.0%,11052,3947,4736,29.997466430200152,N/A,N/A,76.3925814151764,34.38780884538619,76.3925814151764,34.38780884538619,0.39497896135286004,0.006290598701597368,0.2888257170452913,0.005296513489384388,0.11411969324682607,0.004228281941983912,0.00838441967643972,0.0021047735803313805,0.008212853271438916,0.002058682429115916,0.00010160531447248686,4.606936747112927e-05,0.24402133327512016,0.012233795165362306,0.12876019098715813,0.0051111541980723854,0.025946427841722918,0.002693342015734268,258722903494.2085,10020793175.01655,0.08916653182311524,0.003350335310982057,0.011321036301682243,0.0007825705112044471,0.20938057703984958,0.007429063626645873,0.07322913056471063,0.004626518643271412,0.011722258753905118,0.0009195233967138571,1205827481941.295,60225673776.25112,0.35378349183046925,0.018814732662580904,0.17656996140849981,0.019406532294379487,244091730906.06104,10246208994.148767,0.15699631925369745,0.003848223252016927,0.056630163811184804,0.0032737615857436108
Fixed Cut 35.0%,10263,3947,5525,34.994932860400304,N/A,N/A,62.71336402893066,17.34814355741712,62.71336402893066,17.34814355741712,0.38954944088541693,0.02891883795055301,0.2832540618449488,0.023769632150197003,0.11126289128015796,0.01511448501523412,0.00760725462747861,0.0017125447971470505,0.007464155489233212,0.0016754488468118175,8.816779496096999e-05,3.9083397704611267e-05,0.2337827573214117,0.012821055991015547,0.12572846900316675,0.004646442456321296,0.023861122634744086,0.002527667751484984,263093301017.1955,13679200013.210083,0.09339423001508887,0.0034008664450240395,0.012259142533575938,0.0008339805612394735,0.20873277069722912,0.006301150825073452,0.07554257440834337,0.003037803094815341,0.011416730128325185,0.0005371382359191209,1142157788897.4739,123583768983.0003,0.36436186186732694,0.018458320152824868,0.18745592874649994,0.019661292901002474,234208514985.9161,22505339454.914227,0.15829089210468472,0.006690687800164892,0.05772399718637737,0.005414337378406995
Fixed Cut 40.0%,9473,3947,6315,39.998733215100074,N/A,N/A,61.04115962982178,12.096070594228372,61.04115962982178,12.096070594228372,0.38553236971502625,0.004400548175098072,0.28079977628549896,0.003113947935331683,0.10895042812573397,0.0027050544926749036,0.007134561300056287,0.0028831418282609846,0.007000913175328047,0.0028095720491599107,9.198372872258046e-05,8.128252902534064e-05,0.2232234685789477,0.005849709017956253,0.12283524563357365,0.0035458576985299677,0.021815948384862963,0.0011837356237081422,262431987595.26172,10614989223.562977,0.09101521710464233,0.003801274587662172,0.011728990187531147,0.0008636691549023279,0.21035183687142772,0.002564197351702177,0.07473252615691917,0.003166606423482974,0.011638009903113944,0.00028349806238975615,1109325361110.8928,84054305721.46703,0.37196485922819356,0.011381017203368898,0.19517985987121722,0.012444678108333915,228626224784.49597,15401010076.88297,0.15805808959735942,0.0019567812460450497,0.05823420336686361,0.0017626888693864924
Fixed Cut 45.0%,8684,3947,7104,44.99619964530023,N/A,N/A,50.56361608505249,16.908600667582387,50.56361608505249,16.908600667582387,0.39178259424353273,0.00997995944128555,0.28565366121972025,0.008723104402917807,0.11271376675574868,0.005827237547304281,0.00808746393539738,0.003959050332980994,0.007924445762960187,0.003860458002958498,0.00010967797186595936,9.670995431659038e-05,0.2304161985120544,0.01063328675836993,0.1248275183010674,0.005092328053481742,0.023147295369679483,0.0021428665143681043,247485413560.9477,14554131946.185238,0.08716751838521368,0.004451970560618122,0.011021344966847941,0.0009542453440911757,0.20963307467018683,0.0055794536856644105,0.07487451297086217,0.0022390275745601167,0.011585267903342607,0.0004772103128847987,1160394600558.192,64455283454.92525,0.3592486350236623,0.010321335014269475,0.1821398701665095,0.010233770322922334,234646669019.99908,9561659678.881954,0.15661604861058112,0.0029855264007334625,0.05678620385566576,0.00206615301516744
