Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,35059,8765,N/A,N/A,N/A,1524.8179750442505,129.12264394760132,1653.9406189918518,30.045987715517054,0.3287989012552392,0.14093294013618468,0.7544078596099211,0.2171901204687401,0.06265173911148586,0.008633759865054836,0.008431840587345385,9.876345092271542e-05,0.8232029027045928,0.043969458627288,0.0046516092191530595,1.1189552476858384,0.0029399088690204903,0.0005614130019176363,1.2096918037708868,0.00843988378237328,0.0007563552445648039,5.660146548192235,0.1016283522649995,0.034942136694038166
Fixed Cut 5.0%,33307,8765,1752,4.9972902820958955,N/A,1373.343418121338,103.85122418403625,1477.1946423053741,27.66829587088319,0.3264267798498327,0.13891303176273823,0.6818132471980765,0.20747026654454342,0.057734495687697215,0.006450307344293625,0.006248298610137761,5.653859680548869e-05,0.8696839659975093,0.03915328739321789,0.004729399696682105,2.20031600705382,0.003898591484106763,0.001026438256779371,2.7204237732676453,0.004492005698728041,0.0007444264887734385,5.691163861957413,0.0979482049300931,0.033867388414912616
Fixed Cut 10.0%,31554,8765,3505,9.997432898827691,N/A,1457.7152037620544,116.43966007232666,1574.154863834381,769.2291824157965,0.3203801705685126,0.13590666938663687,0.691555629040621,0.21131212590066228,0.05975020755449214,0.005034719102919397,0.004896365151241563,3.775249158148079e-05,0.8615654494242725,0.04062778612378764,0.0047500580733088466,1.034986853911924,0.00506590584391849,0.0010353987363973924,1.1092970329523633,0.01056082921331734,0.0007527597621287557,128.82193701670533,0.09880719713357244,0.033705474334090955
Fixed Cut 15.0%,29801,8765,5258,14.997575515559486,N/A,1374.7223536968231,44.505374908447266,1419.2277286052704,85.02324816619218,0.325824722894246,0.13804916183706392,0.7106993288014575,0.2293339929619823,0.07037834157376127,0.014073783968835539,0.013507013660914051,0.00021205098417235494,0.8594694832821869,0.04307362784589571,0.004843569636600006,1.1677230564750736,0.0032603091735764573,0.00101923721923531,2.697870331841134,0.006704472689199109,0.0007851806015788379,15.078847358426914,0.10361735653763436,0.03588125697540188
Fixed Cut 20.0%,28048,8765,7011,19.997718132291283,N/A,1002.5560548305511,38.50456094741821,1041.0606157779694,9.0503288740971,0.33044628808253,0.14215693215117642,0.7783840272952512,0.2347987472447206,0.07314026375446955,0.0061791345743208905,0.006015882562909637,5.255337031534698e-05,0.8604679375545579,0.04189408437958968,0.004820230785486942,1.0685686351628882,0.002921232899051601,0.0010380733683320721,1.1824911813329664,0.008179022604950516,0.0009080997180333357,2.1577366316695064,0.10404254296229061,0.037019358857968955
Fixed Cut 25.0%,26295,8765,8764,24.997860749023076,N/A,1146.2367780208588,63.18405866622925,1209.420836687088,178.66434862747988,0.3242898636522354,0.13712029486920263,0.689576432927882,0.2313212825009271,0.07152828835264373,0.01219347484054553,0.01174192554479287,0.00019163897965670707,0.8472981433954854,0.0408357667229614,0.0046788266966351945,1.4953820516184182,0.0031363197905854893,0.0010268759654141956,1.7568509353923227,0.006531368886153502,0.0009498705122878663,30.57760827760905,0.10297608784960817,0.03591596589597341
Fixed Cut 30.0%,24542,8765,10517,29.998003365754872,N/A,1091.7080790996552,57.54237508773804,1149.2504541873932,41.30874570437666,0.3245065758986251,0.13976309801487546,0.685225050633894,0.22788857186915606,0.069625384449021,0.00504149001584924,0.004881832929904882,3.373865816066522e-05,0.8840795249152432,0.0463739105358583,0.0067800285439162875,1.1731627417909634,0.00389888293769848,0.0011801100965596143,1.3423568113562472,0.006871155267606906,0.0009331679300439967,7.566435220514813,0.10240348823980787,0.03638592128209624
Fixed Cut 35.0%,22789,8765,12270,34.99814598248667,N/A,988.4839100837708,97.55757308006287,1086.0414831638336,47.2587701015757,0.32122652823485925,0.1352990750321454,0.7322579769941673,0.23124558785609534,0.07128275344561025,0.009862089505196804,0.00950915668438912,0.00013982578174177564,0.9197929643071532,0.0389863454788268,0.006417956035765714,1.035935406679574,0.007109223052828991,0.0011509344661656345,2.3044623284794805,0.00501212028936506,0.0009431557417184551,8.710180144590202,0.10218149359939334,0.03587228341719133
Fixed Cut 40.0%,21036,8765,14023,39.99828859921846,N/A,870.3291940689087,28.927109003067017,899.2563030719757,6.741361577156896,0.3154468701938458,0.12956528444539617,0.8129544278727877,0.23378663070807765,0.07322399760520841,0.007066970992002393,0.006882489257297958,6.8627891395549e-05,0.8614723804388817,0.043089410177386725,0.006418312769393622,1.026391207153887,0.0053848435206409985,0.0010192740374732488,1.1003427284086749,0.015879681019134163,0.001023948533266488,1.7582648820038518,0.10341165414606283,0.035219907547022165
Fixed Cut 45.0%,19283,8765,15776,44.998431215950255,N/A,821.0006837844849,85.31105995178223,906.3117437362671,26.961893594369666,0.3212165074797512,0.1341458731817525,0.8213751813111095,0.2377205455541897,0.07533208106567338,0.011638175482871847,0.011420463388614003,0.00018529253715114465,0.854602863503658,0.046393605440529874,0.006527990969859356,1.044291486135278,0.005161196845134758,0.0011682264674656067,1.0744221846869664,0.016471475018706647,0.0009986293381194558,5.12803724758158,0.10639729895448678,0.03639301559333696
Fixed Cut 50.0%,17530,8765,17529,49.998573832682055,N/A,670.117525100708,99.28495812416077,769.4024832248688,41.42621746357777,0.31822105281471214,0.13257897848850156,0.725292691602357,0.22920181175139748,0.07006383363946067,0.008347569298348704,0.008150589646424254,9.609420593223636e-05,0.8497019097409905,0.04681756936641279,0.006504921335889278,1.1070308986877695,0.004635828004506148,0.0011447131212646343,1.1540418795568652,0.009015836856904809,0.0009151527219277804,7.545105402077329,0.10267378140672556,0.03521728225216266
Fixed Cut 55.0%,15777,8765,19282,54.99871644941384,N/A,736.9945249557495,46.59087586402893,783.5854008197784,38.164930144271004,0.30365743851915217,0.1296054060702964,0.5603276043024064,0.2212431855773311,0.0692712154365127,0.01208976239455326,0.011619488657840328,0.00015572441452184704,0.8586658681922474,0.04442660847726495,0.006380837742947962,1.0215376423149307,0.022437046643831775,0.0015834678099875706,1.047884690710788,0.02144022255053814,0.0011798907838504197,6.944239285364354,0.10413733173765834,0.03469609037635293
Fixed Cut 60.0%,14024,8765,21035,59.99885906614564,N/A,691.2870810031891,45.723814964294434,737.0108959674835,8.941474890881256,0.332819578119308,0.14869163780084008,0.7015947151659429,0.23858311147085431,0.0760667502499895,0.005699119538503838,0.005540550245317705,4.410314431142661e-05,0.9438827335250626,0.03874345652502921,0.006572171229266179,1.0393606858325006,0.003694364301566342,0.0011212758425253487,4.776464857582929,0.005880778114141041,0.0009723814234089039,2.7347461670877027,0.10421030646270264,0.038911386615057005
