Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg DEWP_MAPE,Std DEWP_MAPE,Avg DEWP_MAE,Std DEWP_MAE,Avg DEWP_MSE,Std DEWP_MSE,Avg TEMP_MAPE,Std TEMP_MAPE,Avg TEMP_MAE,Std TEMP_MAE,Avg TEMP_MSE,Std TEMP_MSE,Avg PRES_MAPE,Std PRES_MAPE,Avg PRES_MAE,Std PRES_MAE,Avg PRES_MSE,Std PRES_MSE,Avg Iws_MAPE,Std Iws_MAPE,Avg Iws_MAE,Std Iws_MAE,Avg Iws_MSE,Std Iws_MSE,Avg Is_MAPE,Std Is_MAPE,Avg Is_MAE,Std Is_MAE,Avg Is_MSE,Std Is_MSE,Avg Ir_MAPE,Std Ir_MAPE,Avg Ir_MAE,Std Ir_MAE,Avg Ir_MSE,Std Ir_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,35059,8765,N/A,N/A,N/A,N/A,168.26491184234618,57.58866125710934,168.26491184234618,57.58866125710934,4266637330177.668,842269853576.9359,0.27866024877381934,0.003817683204890948,0.10183944117879104,0.002473573219327402,27324160090742.242,1168477312824.5728,0.18516772415024235,0.006556992151584824,0.04586863338901632,0.003024751568625528,0.00795821444994063,0.000787941505509841,0.0077258591752080285,0.0007775165513715202,8.272017849626717e-05,1.0880014863957547e-05,8.250093022403783,1.4038794823769585,0.03876396699004044,0.004118186476911497,0.003732651504244967,0.00013010269779832834,14618470226042.258,11673713998963.766,0.004287343061590564,0.002577609781946566,0.0004779744882584851,3.017672486614328e-05,23009800021589.965,17100406656445.756,0.008156189752808058,0.0036577670446764562,0.0006293961783665953,3.474110154986751e-05,11536511278093.182,2794703434629.424,0.08712688865061638,0.001325215661149184,0.025438469486195624,0.0006503519847374963
Fixed Cut 5.0%,33307,8765,1752,4.9972902820958955,N/A,N/A,98.85960459709167,37.07443021201779,98.85960459709167,37.07443021201779,7072266331295.462,2386165065745.399,0.2735544332834589,0.009163171602874665,0.09957211276824575,0.007184445827758172,29445459101347.26,2671793035317.2183,0.18307065926125907,0.008952552112726535,0.04529191646648875,0.0041757107016727035,0.006767535475039424,0.0025577967066017066,0.006580962819320885,0.002491731406913616,6.632023131200913e-05,4.1845404913993357e-05,6.220939868077065,2.0408087759690416,0.033190445748441454,0.005187419163343206,0.003556845445383729,0.00017849730275575144,15377632246828.48,7119801061151.987,0.004838124779935652,0.001573533663562266,0.0008786115699890045,4.617912132871766e-05,47913286969050.414,42029106442905.12,0.013490982863406269,0.008924075488632277,0.0007509101311031219,0.00016868102320933843,16634774108087.752,7477711982287.318,0.08578760145930271,0.001298702457066737,0.02501945276875374,0.0017792736331554493
Fixed Cut 10.0%,31554,8765,3505,9.997432898827691,N/A,N/A,137.94958815574645,45.34214142664376,137.94958815574645,45.34214142664376,5994193583971.609,1558230322543.4187,0.2721532367524298,0.0037001117573507683,0.0978851926635851,0.002681440066352077,29545388595098.39,2413832471470.5366,0.18358782137176521,0.0017873033309763378,0.04551652930121346,0.0006643370740725996,0.006702903201404864,0.0007538945323853612,0.006532702480064103,0.000732302257839426,6.118182898072344e-05,1.246163959676267e-05,6.496667751901496,1.1450224051933826,0.03392521064414002,0.003296072093669999,0.0036274917204475385,0.00016553080175753406,11067907537574.617,8100925537841.1455,0.0038725040180053114,0.0018087402495992,0.0008584730536462767,4.175995847461904e-05,39779857469133.414,19013923547192.055,0.011863820911154302,0.0040300986642354255,0.0007005805406457362,9.661676335965294e-05,14397891197630.533,2890372869147.0195,0.0853225493629254,0.0014449413544269927,0.02477490818475314,0.0005060030863168435
Fixed Cut 15.0%,29801,8765,5258,14.997575515559486,N/A,N/A,135.9569133758545,46.57218049688285,135.9569133758545,46.57218049688285,4902246839861.941,1606619863661.6538,0.2739996813429936,0.00716132118423868,0.09900633942817649,0.00483642487724974,29232595113296.383,1745522439324.1267,0.19667314602112007,0.004011978246449072,0.0519108774822114,0.002025487964425147,0.007073539966804118,0.0017802217353333272,0.006898354318543892,0.0017317185810276805,7.433904865452322e-05,3.0118247320822874e-05,5.884560269679832,1.4662459424039387,0.032379194164163,0.003330469092652636,0.003609230894959278,6.326065818982897e-05,8155534362702.669,4660037742719.323,0.003226760139003597,0.0010440107901606537,0.0008569725922786157,8.24418731630735e-05,43889143899374.77,33777713053832.84,0.012592638204386337,0.00722669402746077,0.0007088900699540376,0.00018176161127049506,14363253369206.725,5820433682143.238,0.08762829569836746,0.0011307126455227753,0.026027774919372405,0.0010348021547735443
Fixed Cut 20.0%,28048,8765,7011,19.997718132291283,N/A,N/A,114.3646134376526,36.89374952921826,114.3646134376526,36.89374952921826,2531712138981.86,1512307609006.6318,0.2749179451972428,0.0030245211740518216,0.09920330485553625,0.0020043456053966406,26526591857503.8,1649328091738.6846,0.20014809130954367,0.0027179195041699264,0.0535189854148858,0.0014829393208843397,0.006314157968462565,0.0008697414084952508,0.006135226131390241,0.0008361131333632452,5.431082839529772e-05,1.265792633236411e-05,6.993718539138429,2.0503246999023292,0.03528647147542614,0.006336862259315249,0.0036846939639485184,0.0003622516285112873,16339225572384.414,15817131327152.477,0.005027915355399571,0.0034707731371541916,0.0008708417189177229,5.020351770546142e-05,30274105597821.445,17957001600848.555,0.010103857197819418,0.003826750439605153,0.0007863559553083321,2.8547045428664566e-05,12611939194449.566,4405125836345.966,0.0886032511111358,0.0008372975113462303,0.026353082122831974,0.0002921320169238324
Fixed Cut 25.0%,26295,8765,8764,24.997860749023076,N/A,N/A,116.01464719772339,22.240435662411322,116.01464719772339,22.240435662411322,3403175402427.0835,934930723329.5983,0.27344876717779426,0.003215095008619948,0.09813285521264861,0.0020469451683733627,28197949598564.25,2036342983778.1628,0.19736893834758504,0.0010054784824085473,0.052309171196982265,0.0005526022659588388,0.007926561360423905,0.002507316244253651,0.00768036692899754,0.0024169761689050214,8.94412434649035e-05,4.805686928867631e-05,6.738669669397971,1.6549498898644186,0.03453477722587544,0.00406127423445858,0.0036227571452816408,4.289391506858843e-05,34744991245561.234,29155906408585.47,0.00907369285494814,0.0064575995642453,0.0009050895494053683,0.00013009726851458285,26100903836720.246,26042949805961.875,0.009224208723445305,0.005484364252923243,0.0008212932309875958,3.9570148335815875e-05,15407836680546.379,4929635111743.009,0.08855512520977331,0.0007844060973063348,0.02598010126312844,0.00030109233119290864
Fixed Cut 30.0%,24542,8765,10517,29.998003365754872,N/A,N/A,134.43863945007325,87.14065735508272,134.43863945007325,87.14065735508272,7378111887172.859,1606078144603.0588,0.27224763486029824,0.0035749937722535327,0.0989019671653872,0.0028845159861545203,32467151541214.074,682905027216.4406,0.19161660261916114,0.0020260182443677236,0.04964139063978081,0.0010708914415592016,0.0074254704518136655,0.001257795975367084,0.0072246165642853456,0.001197857119974021,7.632415494473582e-05,2.1313238649414376e-05,6.383267465250766,1.1183322998028713,0.039800534687848964,0.0034921505268900215,0.005118239515373641,0.00023810021090766133,14144662521746.846,9269395127468.252,0.004567696762693752,0.0020390819701544007,0.0008816817696808595,2.504256984521042e-05,28324178380228.418,13612570878774.38,0.009665041616961502,0.0028541108751531435,0.0007797438009454843,4.0586539109054145e-05,13719017388394.54,2797529588052.6245,0.08752035451854073,0.0007153661613115853,0.025899891174352107,0.0003778115216845883
Fixed Cut 35.0%,22789,8765,12270,34.99814598248667,N/A,N/A,148.97948551177979,110.78760408930466,148.97948551177979,110.78760408930466,7628947704902.889,1242795346861.8777,0.27326449416412957,0.0027414295058215917,0.09887228302850608,0.0024103731834940866,32665622847979.16,1663865237545.9119,0.19470745321983435,0.004759288966957262,0.05126876383530449,0.0021688864539182204,0.006491169749076087,0.0013078831089749362,0.006312287547488776,0.0012554653857516204,5.6742216604459846e-05,2.0896844490019148e-05,5.500650286102903,0.7029662423038463,0.03729375510688574,0.0016886868117769178,0.005154196437112211,0.00022462261549855884,11507273410776.73,7722084432268.101,0.003988450015930945,0.0017090042280706185,0.0008848469385906558,5.2755627216239516e-05,32543949736325.234,22434517530613.367,0.010572214455996282,0.004794907199747867,0.0008026866014408411,6.515871482306283e-05,14057632283331.36,4490060180273.431,0.08768977575171016,0.0012602124369997362,0.02617325317625979,0.0004733957827383963
Fixed Cut 40.0%,21036,8765,14023,39.99828859921846,N/A,N/A,142.5857207775116,73.28460282275513,142.5857207775116,73.28460282275513,5386108521297.41,1975154567883.464,0.2721936424195147,0.004938692984551122,0.09796689285468586,0.0026940771423851514,29158390413334.14,1675943100630.2788,0.19470615358612425,0.004321844085924425,0.05086700562428896,0.002138572371940509,0.005780976096880846,0.0018844123427834635,0.005630873391412832,0.001845797856509626,5.0724180167262597e-05,3.564065258440159e-05,6.0701002903065095,1.0299837004623111,0.03886029165140791,0.0031319557473690825,0.005113864572510131,0.00020933028609925418,9019615595503.307,5564634263485.657,0.0034627893442214478,0.0012427522888286344,0.0009140157032119067,4.9753794412059304e-05,29590033570144.758,28827975665321.074,0.009922327574669324,0.006106620962346381,0.0008107648649213835,8.230528753176209e-05,12192358016714.06,4931808342481.493,0.08746267966122424,0.0009613109086681883,0.025953877966630925,0.0007016788648065273
Fixed Cut 45.0%,19283,8765,15776,44.998431215950255,N/A,N/A,87.43516778945923,32.4865396832322,87.43516778945923,32.4865396832322,2166765640043.1667,798421387056.6061,0.27328243846886324,0.004514746342404602,0.09775295876037085,0.0032689782543532486,26486484253363.035,2149411992097.5483,0.19871731485878433,0.003962890480216917,0.05293044753014432,0.0021510972250910134,0.006073571473568115,0.0011719535683850412,0.00590893242776549,0.001150167535113001,5.375898442185257e-05,1.8820175474077606e-05,6.413907483703529,1.2180840302150224,0.03975472516224621,0.0034820731940567538,0.005014416574178548,0.00022542796045453946,11075229288936.736,4181551332101.7153,0.003936815644567542,0.0009168787953330506,0.0009382046256087832,4.792305771428269e-05,30331540607729.0,20907048144499.81,0.010141791161732482,0.00446372644081393,0.0008036411872302078,4.290396415969234e-05,11676669965012.879,3588214872681.2935,0.08862366962065897,0.001956944318741877,0.026248904610325835,0.0007821486441592924
