Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,35059,8765,N/A,N/A,N/A,147.98114109039307,147.98114109039307,3569049392317.928,0.28388826433157166,0.10521081071618105,26229344649011.477,0.1803912760236611,0.04384929005140222,0.007326170695641371,0.007112912962885784,7.498563465909168e-05,9.488549979614415,0.042397565571696987,0.0038691064763427623,23131980040119.51,0.006200521372787809,0.0004961598665340745,9423377088755.227,0.005284322331600678,0.0006212331878019928,10392291861702.06,0.08754581043236527,0.02568693098882029
Fixed Cut 5.0%,33307,8765,1752,4.9972902820958955,N/A,144.50133514404297,144.50133514404297,8545411659460.196,0.2823042470692309,0.1062266618733568,31341239456449.79,0.19644624344022082,0.051508137732908126,0.009222273394907513,0.008940253054086333,0.00011067369290387394,4.714608903254394,0.02860963066804838,0.003315522458077389,4009774935819.871,0.002346735853453208,0.0009028723087320675,7822505319207.725,0.004987347881687288,0.0006605953831426518,8619821895156.82,0.08727240966112028,0.027120743908186806
Fixed Cut 10.0%,31554,8765,3505,9.997432898827691,N/A,212.82663488388062,212.82663488388062,5582684816228.768,0.2703743239323625,0.09634667519692373,29226382010994.66,0.18209897305953832,0.044548610569962316,0.006190448718353877,0.006051384615990898,5.572096930372938e-05,7.457568244701497,0.036269346410107275,0.00362883466254361,20978790179932.84,0.006044466887116023,0.000848480743347839,20216280092519.56,0.0075490576087149965,0.0006207453831727452,12667356183280.328,0.08473125875230382,0.024341511254208983
Fixed Cut 15.0%,29801,8765,5258,14.997575515559486,N/A,177.99687099456787,177.99687099456787,6596069220657.689,0.270444647625104,0.0968859099448972,30243437043471.992,0.19642847293006746,0.05191649628172611,0.008836928665916729,0.008594328495105238,9.972423476887426e-05,6.686700976692073,0.034006587705822905,0.003500442706223069,9493483545389.78,0.0035536898193924728,0.0008924941714354289,48675979495852.88,0.013540840295097887,0.0006527562644223436,15834828217562.953,0.08776142781176417,0.025657970600578894
Fixed Cut 20.0%,28048,8765,7011,19.997718132291283,N/A,135.47852897644043,135.47852897644043,3441814328016.0176,0.2715393405125281,0.09708875670379684,27392980803935.062,0.2023442633138839,0.05464895051680081,0.005612787655680695,0.00543184960769071,4.2068571885792267e-05,5.337770060981549,0.0301536634330076,0.003282909857197643,13955398549350.602,0.00456610578637622,0.000951177144991459,44775618194018.35,0.013252799675467488,0.0008360108375305233,14927635312554.01,0.08788133705482466,0.02614164560536712
Fixed Cut 25.0%,26295,8765,8764,24.997860749023076,N/A,131.34968304634094,131.34968304634094,3516823795762.7676,0.27438887651346666,0.0983520167252508,28637156760102.797,0.19712008943461046,0.05238143080425661,0.0045663428350082,0.004440268935707613,2.9961572059854114e-05,4.413469676258589,0.02928371953324728,0.00364764643068461,77740975397379.86,0.01862307993299982,0.001119599073833687,9849038659417.533,0.005850430122434372,0.0008246406352868985,19957332435444.344,0.08828441074541014,0.026059215873562146
Fixed Cut 30.0%,24542,8765,10517,29.998003365754872,N/A,274.00860500335693,274.00860500335693,5146754126779.764,0.2746710780246305,0.09889283672280672,32869341307781.227,0.1910060728368895,0.04936777978028102,0.006011414240333707,0.005873677856165322,5.444948564666845e-05,6.695068097486453,0.04081489980617245,0.005203121997967177,11301451564317.527,0.003920441201058721,0.000860873247694898,12493706960172.05,0.006384421030213011,0.0008053277952834805,10301875659842.652,0.08711176512585382,0.02586406483827998
Fixed Cut 35.0%,22789,8765,12270,34.99814598248667,N/A,344.3071029186249,344.3071029186249,7145277096954.46,0.2740882137908701,0.09953242849119606,29973108470785.55,0.20093440274634328,0.05399258428015024,0.007210087773256133,0.0070088921414626455,6.634542940924176e-05,5.378131190212849,0.03649288472413251,0.005002874483875855,15172841144447.215,0.00475385296732167,0.0008376144908991024,8609103944854.391,0.00543219731983136,0.0007514728660414603,10150055109507.61,0.08811840728165965,0.026697220006928687
Fixed Cut 40.0%,21036,8765,14023,39.99828859921846,N/A,259.8769278526306,259.8769278526306,7443039311382.17,0.27136688490686445,0.0983273141246635,31259271672369.65,0.20069675069462567,0.053762425880372236,0.005435619801405423,0.005277573152851098,3.945154114605761e-05,4.570181465803772,0.03458004246658737,0.005090729312580883,4567020011130.889,0.0024136303308613873,0.000829095934578366,46311168214294.06,0.013381351055862387,0.0007855652669156766,14930083201530.0,0.08795270543460815,0.026472430343376152
Fixed Cut 45.0%,19283,8765,15776,44.998431215950255,N/A,118.83066201210022,118.83066201210022,3108014581783.6357,0.2739309832604685,0.09804395202946373,27321460141302.062,0.1989340510426588,0.052761314744101305,0.0065711651926928785,0.006368971874428802,5.7422205266259854e-05,7.832061999974352,0.043653460721683864,0.004885064630739284,13239553585439.164,0.004479287774004035,0.0010112907311082527,59076864974812.48,0.016245586486232557,0.0008498249140015692,17124315547223.979,0.09060205685991181,0.026268144875780112
Fixed Cut 50.0%,17530,8765,17529,49.998573832682055,N/A,118.25320219993591,118.25320219993591,4152096058430.2295,0.2737928403921072,0.09834710647638592,29038673859538.74,0.19312861224925165,0.050151577442551984,0.008293000749185564,0.0081022467661954,0.00010266668763278064,8.378591206355622,0.04698554520079204,0.0054588747111099485,7222135826054.58,0.003148027635627934,0.0010125848124838866,16658525213294.053,0.007246581642401663,0.0007835930776513713,9511905159554.113,0.08873397564772849,0.025976067201302685
Fixed Cut 55.0%,15777,8765,19282,54.99871644941384,N/A,66.56114721298218,66.56114721298218,7983528092660.875,0.2788133159664786,0.10352034986830795,35390000421849.03,0.19415293692108077,0.05136778097829877,0.005706163970933357,0.0055395199296968956,4.451747392470488e-05,6.915079891209418,0.04182151625847152,0.00527171643648614,20787112413792.465,0.006116359149548791,0.0009979058141054878,84301960580166.89,0.021731091378676508,0.0010327744476655112,24743766918079.125,0.09136245660065777,0.027039174169798036
Fixed Cut 60.0%,14024,8765,21035,59.99885906614564,N/A,73.8867597579956,73.8867597579956,9489429296566.842,0.2894500545581405,0.11203456724747647,37140019171891.72,0.20082598595623333,0.055275701291389784,0.00901529086961624,0.008803122928538654,0.00011622706004176083,8.28234518613118,0.04716684048745466,0.00556561006155577,6138344223025.871,0.0028336620701061113,0.000917383112098011,16128784959557.715,0.007136928244487734,0.0007991524176491311,11482762941841.486,0.0927027657074924,0.029118106865035142
Fixed Cut 65.0%,12271,8765,22788,64.99900168287743,N/A,62.72369623184204,62.72369623184204,8551877423799.735,0.2561399688561314,0.08830487091460641,31939811306252.066,0.18982884889836524,0.049051866402933644,0.007444651290405304,0.007218615578363735,8.00664657482338e-05,3.2841957155387584,0.03251425003352949,0.005324034289740488,36975276063720.38,0.009708315956579987,0.0010500665149436898,17745957115765.125,0.007533004078448336,0.0008420011081132741,15868820318256.541,0.08382383390023605,0.024108817616014352
